ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10202310,HY389642,08/19/2015 11:05:00 PM,078XX S ELLIS AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,True,False,624,6.0,8.0,69.0,26,1184253.0,1853166.0,2015,02/10/2018 03:50:01 PM,41.752258758,-87.600360112,"(41.752258758, -87.600360112)"
10137860,HY326641,07/03/2015 11:39:00 PM,002XX W 104TH PL,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,512,5.0,34.0,49.0,04B,1176430.0,1835644.0,2015,02/10/2018 03:50:01 PM,41.704355405,-87.629552795,"(41.704355405, -87.629552795)"
10143893,HY333154,07/08/2015 08:30:00 PM,056XX W WILSON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,1622,16.0,45.0,15.0,04A,1137928.0,1930022.0,2015,02/10/2018 03:50:01 PM,41.964120181,-87.768269763,"(41.964120181, -87.768269763)"
10160694,HY349616,07/21/2015 01:10:00 PM,126XX S LOWE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,523,5.0,9.0,53.0,18,1174281.0,1821149.0,2015,02/10/2018 03:50:01 PM,41.664626775,-87.637850556,"(41.664626775, -87.637850556)"
10353825,HY545048,12/20/2015 09:00:00 PM,034XX W OHIO ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),False,False,1121,11.0,27.0,23.0,06,1153463.0,1903789.0,2015,02/10/2018 03:50:01 PM,41.891839367,-87.711850817,"(41.891839367, -87.711850817)"
9912732,HY101508,01/02/2015 12:55:00 PM,002XX W WASHINGTON ST,0860,THEFT,RETAIL THEFT,ALLEY,False,False,122,1.0,42.0,32.0,06,1174561.0,1900806.0,2015,02/10/2018 03:50:01 PM,41.883208368,-87.634456935,"(41.883208368, -87.634456935)"
9997812,HY117210,01/16/2015 11:49:57 AM,085XX S ABERDEEN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,True,False,613,6.0,21.0,71.0,18,1170476.0,1848176.0,2015,02/10/2018 03:50:01 PM,41.73887651,-87.650991641,"(41.73887651, -87.650991641)"
10287581,HY475722,10/25/2015 01:00:00 AM,008XX W ROSCOE ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1924,19.0,44.0,6.0,06,1170149.0,1922782.0,2015,02/10/2018 03:50:01 PM,41.943609161,-87.650015015,"(41.943609161, -87.650015015)"
10320031,HY509002,11/19/2015 12:01:00 AM,057XX S CICERO AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,False,False,813,8.0,23.0,56.0,11,1145654.0,1866253.0,2015,02/10/2018 03:50:01 PM,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
10141028,HY330470,07/06/2015 07:32:00 PM,004XX W 115TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,522,5.0,34.0,53.0,06,1175228.0,1828648.0,2015,02/10/2018 03:50:01 PM,41.685184204,-87.63416226,"(41.685184204, -87.63416226)"
